,count,mean,std,min,25%,50%,75%,max
id,21606.0,10803.5,6237.259,1.0,5402.25,10803.5,16204.75,21606.0
age,21606.0,32.83,9.669,20.0,25.0,30.0,40.0,55.0
total_protein,21606.0,7.203,0.602,4.8,6.8,7.2,7.6,9.5
calcium,21606.0,9.298,0.6,7.0,8.9,9.3,9.7,11.5
iron,21606.0,98.47,30.94,10.0,78.0,98.0,119.0,217.0
vitamin_d,21606.0,28.112,11.752,4.0,20.0,28.0,36.1,78.4
alt_liver,21606.0,25.661,13.779,5.0,15.0,25.0,35.0,81.0
manganese,21606.0,8.017,2.978,1.0,5.97,8.0,10.05,20.0
body_water_content,21606.0,54.983,7.886,35.0,49.6,55.0,60.3,75.0
stress_level,21606.0,18.033,7.905,0.0,13.0,18.0,23.0,40.0
total_keratine,21606.0,49.876,19.8,0.0,36.0,50.0,63.0,100.0
hair_texture,21606.0,50.165,19.672,0.0,37.0,50.0,64.0,100.0
family_hair_fall_history,21606.0,0.345,0.475,0.0,0.0,0.0,1.0,1.0
chronic_illness,21606.0,0.299,0.458,0.0,0.0,0.0,1.0,1.0
late_night_sleep,21606.0,0.402,0.49,0.0,0.0,0.0,1.0,1.0
sleep_disturbance,21606.0,0.352,0.478,0.0,0.0,0.0,1.0,1.0
water_reason,21606.0,0.298,0.457,0.0,0.0,0.0,1.0,1.0
chemical_use,21606.0,0.399,0.49,0.0,0.0,0.0,1.0,1.0
anemia,21606.0,0.246,0.431,0.0,0.0,0.0,0.0,1.0
stress,21606.0,0.403,0.491,0.0,0.0,0.0,1.0,1.0
hair_fall,21606.0,0.75,0.766,0.0,0.0,1.0,1.0,2.0
