feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
stress_level,0.6146717733672317,0.13908287505903935,0.511165879205341,0.421640175877204
iron,0.4828866602818756,0.11471881518196843,0.43234075042906805,0.3433154086309707
calcium,0.46312875656047653,0.07902901872568534,0.4014065417194602,0.314521439001874
total_protein,0.44739700544751687,0.12196729615538952,0.3411862176766447,0.3035168397598504
vitamin_d,0.39776769430640174,0.09501035918299476,0.30913655637491694,0.26730486995477115
alt_liver,0.38626827235055505,0.0903881504398465,0.31219545149808164,0.2629506247628277
manganese,0.33834583231173837,0.04987366402585622,0.3379824802252591,0.24206732552095123
body_water_content,0.21836585217143614,0.06418294406117636,0.26716750962320135,0.18323876861860464
stress,0.18100821265268296,0.06400747061499923,0.11711231360083578,0.12070933228950599
chemical_use,0.13129078604127042,0.0752052969574801,0.05617756774300315,0.08755788358058457
anemia,0.11123587162857934,0.018025387377799316,0.11856210684282507,0.08260778861640124
age,0.10306569272990981,0.04357686521221751,0.08368022558796295,0.07677426117669676
chronic_illness,0.11378217306011164,0.020086762889401383,0.09444969762843436,0.07610621119264913
family_hair_fall_history,0.08957209567622455,0.016919465044202962,0.102830617117501,0.0697740592793095
hair_texture,0.033770514108846794,0.04679993921854113,0.0672204991195598,0.04926365081564924
sleep_disturbance,0.04917106571494652,0.013976412483473638,0.060445285151712956,0.041197587783377704
water_reason,0.053965200523365016,0.009323308337727137,0.04842897451868748,0.03723916112659321
total_keratine,0.03550038923882669,0.03232745765577919,0.04347215415474792,0.037100000349784605
late_night_sleep,0.03185514147267589,0.012988084520269344,0.037622478094621006,0.027488568029188743
gender,0.0037505181659137445,0.0014154924452857206,0.0037386106074098337,0.0029682070728697663
