feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
stress_level,0.7219648921034978,0.11769416828729819,0.621564595670306,0.48707455202036726
iron,0.6484967437253556,0.07513011603691687,0.5979540563541167,0.44052697203879637
total_protein,0.5849016169560015,0.06919644550820189,0.5297566583806214,0.3946182402816083
alt_liver,0.5422543274632008,0.05891360593814865,0.5176897211870141,0.3729525515294545
vitamin_d,0.5247461232545345,0.08231443665126793,0.46304588917732686,0.35670214969437647
calcium,0.4441981773601551,0.06956104151164366,0.3837919218966715,0.2991837135894901
manganese,0.3883829220473426,0.036823704741695135,0.3757055731984709,0.26697073332916954
body_water_content,0.29107156539468526,0.04164143506583588,0.32399030025783637,0.21890110023945253
stress,0.27708205539934355,0.029092983063183996,0.27251596738648154,0.19289700194966972
family_hair_fall_history,0.24072269553411915,0.018502358991276377,0.23584597096627327,0.1650236751638896
anemia,0.23121425782763116,0.015690114537106337,0.22130275229655852,0.15606904155376533
chronic_illness,0.2252964812685388,0.02356484361486226,0.20377750784177412,0.15087961090839172
age,0.19415230228026503,0.04257301569798495,0.17405369171280413,0.1369263365636847
chemical_use,0.19780253185236993,0.052525055716891325,0.14696647473591234,0.13243135410172455
late_night_sleep,0.147785285249022,0.013792161735774642,0.14764882223847128,0.10307542307442263
water_reason,0.13466777193040874,0.014378589378569291,0.12704177983616757,0.0920293803817152
sleep_disturbance,0.0734455210819123,0.013812333481664349,0.08681842366694052,0.058025426076839054
total_keratine,0.026543719914674774,0.031194592447278943,0.05041557773276048,0.03605129669823807
hair_texture,0.04798087586471491,0.02745824809428813,0.029804609248537017,0.035081244402513354
gender,0.021900367252649922,0.01025402014452705,0.03144268476483955,0.021199024054005505
