feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
iron,1.04178210442585,0.07327171694678314,0.992721439000404,0.702591753457679
stress_level,1.0233699674231962,0.06810859140813676,0.9826572676883166,0.6913786088398832
total_protein,0.9503768545642424,0.05824581364961082,0.9042470235409062,0.6376232305849198
alt_liver,0.8383152018963215,0.05497378964093076,0.8093474523217011,0.5675454812863178
vitamin_d,0.828661936817863,0.0561206168957132,0.7981690252506973,0.5609838596547578
calcium,0.7139135348297201,0.046824158811126844,0.6764352091295514,0.4790576342567994
manganese,0.6010670345687467,0.04089896127717629,0.5796029663998559,0.40718965408192626
body_water_content,0.4895084192934162,0.03343828193268637,0.49063738449588296,0.3378613619073285
family_hair_fall_history,0.43466543438799116,0.030943772018265,0.40383493903849077,0.28981471514824897
stress,0.40879676147263694,0.023437557020480993,0.38692242520443704,0.273052247899185
chemical_use,0.4039122826563314,0.030645123029313902,0.3748462529038549,0.2698012195298334
anemia,0.3717359708717262,0.020835813228494506,0.35509327701313415,0.24922168703778494
age,0.3632213143306238,0.021675107154424555,0.3601175021814702,0.24833797455550619
chronic_illness,0.3550707144290625,0.023744654042637155,0.3343414195695759,0.23771892934709185
late_night_sleep,0.2723395276080311,0.011398296671883431,0.27543207919637547,0.18638996782543002
sleep_disturbance,0.2546201931316816,0.01741588323507292,0.24468220725914522,0.17223942787529992
water_reason,0.22507400023470997,0.011767311474937378,0.2188475317036987,0.151896281137782
gender,0.17071984827152412,0.014387588500185258,0.18265151703177346,0.12258631793449427
total_keratine,0.028801808140091183,0.03187526576693806,0.03177879485977735,0.030818622922268862
hair_texture,0.024296502307679716,0.021296036357582687,0.02523304439365775,0.023608527686306714
