feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
iron,0.18306260376870764,0.13437833777475122,0.050863348658987374,0.12276809673414875
stress_level,0.15031851344192104,0.10360042956162678,0.04123038326783034,0.09838310875712607
calcium,0.11454984354748371,0.07939711531574518,0.03587193476958714,0.07660629787760534
total_protein,0.11351724394928457,0.07853484419049575,0.03350082817600067,0.07518430543859365
vitamin_d,0.09376103378606625,0.063386488911649,0.026019565561689505,0.06105569608646825
alt_liver,0.08867328328986737,0.06697369220613238,0.02701855567214789,0.060888510389382554
manganese,0.08520253672654729,0.05469446052817613,0.027528802336897716,0.055808599863873716
body_water_content,0.07912823219551515,0.05503353054314011,0.021845077771230202,0.05200228016996183
stress,0.06440764681160654,0.04550199005678058,0.019375692902225742,0.04309510992353762
anemia,0.06075487421927961,0.047083639576391584,0.01264198509600187,0.04016016629722435
chronic_illness,0.05543575939995567,0.029092016319180156,0.02577592167670229,0.03676789913194604
chemical_use,0.05330318096269118,0.031270122333175644,0.014597054884224544,0.03305678606003045
sleep_disturbance,0.031159742225802475,0.023119124092890724,0.012325236395766163,0.022201367571486455
age,0.027248229403450182,0.02185371167299083,0.013679574821348774,0.02092717196592993
family_hair_fall_history,0.026573352268385326,0.018600461179715352,0.007148936464256239,0.017440916637452304
late_night_sleep,0.019854791042605447,0.014474911589354666,0.009159646731153884,0.014496449787704665
total_keratine,0.009383930330345128,0.009388739309250866,0.0034109203673393785,0.00739453000231179
hair_texture,0.0028604747747392172,0.009090493373351072,0.002830457347380777,0.004927141831823688
gender,0.0036054364082659498,0.007795239130290013,0.0017768458065268746,0.004392507115027612
water_reason,0.003173989512901616,0.0019446516871081691,0.0018532859650322157,0.002323975721680667
