feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
iron,0.18711562504557216,0.14111971525328687,0.051272652088787514,0.12650266412921551
stress_level,0.12963880389246843,0.08982050123090084,0.040215415147361586,0.08655824009024361
total_protein,0.11278757257962452,0.08918625456217624,0.02627494935728581,0.07608292549969552
alt_liver,0.09850447028474155,0.07461400263491115,0.031882758562175026,0.06833374382727592
calcium,0.0778809975162663,0.055787574562874094,0.026173157827219008,0.05328057663545314
vitamin_d,0.0758521564279994,0.05227188483406134,0.023578632578199366,0.05056755794675336
manganese,0.07435195523495083,0.05169866840198132,0.025066936600142527,0.050372520079024895
body_water_content,0.0646287142536254,0.04847150414724012,0.021967410062648355,0.045022542821171296
stress,0.06733973251375706,0.04892269792061417,0.017835877012463967,0.044699435815611734
anemia,0.05893120769145444,0.04635971498496173,0.011309977063424929,0.03886696657994703
late_night_sleep,0.056550342400820956,0.04103180045802725,0.015980238729427367,0.03785412719609185
chemical_use,0.05473095252148742,0.03527715737425901,0.01633261492491211,0.035446908273552846
chronic_illness,0.04661723510286387,0.027601408764368094,0.019300868812658082,0.031173170893296683
age,0.04270988499575393,0.03180001423419462,0.012975802472089189,0.02916190056734591
sleep_disturbance,0.03831420190562718,0.027163733828406048,0.00978447854474412,0.025087471426259115
family_hair_fall_history,0.03037147351453568,0.023350283913012877,0.006944242481324662,0.02022199996962441
gender,0.015399340669420605,0.013972877294307507,0.0021486384076662628,0.010506952123798124
hair_texture,0.007717727852710686,0.011926386505426234,0.0013518867024739187,0.006998667020203613
water_reason,0.006914281289831418,0.004714954149571035,0.003640844996860901,0.005090026812087784
total_keratine,0.0030183390378459613,0.0065965514597514,0.0021199376933291533,0.003911609396975505
