feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
iron,0.18722080553542664,0.1413010792398041,0.052870882010696736,0.1271309222619758
stress_level,0.12535984034214803,0.08620779888017484,0.04172474941553674,0.08443079621261985
alt_liver,0.10995874040250417,0.08594944144452343,0.027668781687136393,0.074525654511388
total_protein,0.10744719265239924,0.08351881421065577,0.027733314436736413,0.07289977376659713
calcium,0.0739982043491338,0.058099156369660315,0.021291067163707055,0.051129475960833726
vitamin_d,0.0785533551051121,0.05571843771838174,0.01845525842560976,0.05090901708303453
body_water_content,0.07462652805017352,0.05866318101729774,0.015907736850697653,0.049732481972722974
manganese,0.06794163209685307,0.04910946795200853,0.025517785221622725,0.04752296175682811
anemia,0.06346262057888577,0.051942625123124905,0.01116230730125872,0.042189184334423126
late_night_sleep,0.05699815289575748,0.04243743657186289,0.014833105425578577,0.03808956496439965
chemical_use,0.05188366070494691,0.03841247697966905,0.016285281750395206,0.03552713981167039
stress,0.050873267170173396,0.039439249965309016,0.012314970715396247,0.034209162616959554
age,0.048457670908420916,0.03687411635180271,0.015764546797000234,0.03369877801907462
chronic_illness,0.047939405394356795,0.03407063181920366,0.015479354385626464,0.03249646386639564
sleep_disturbance,0.04080229590096406,0.031105750026852796,0.01207784167934667,0.02799529586905451
family_hair_fall_history,0.03217632995662219,0.026873899409131628,0.006151594912991015,0.021733941426248276
gender,0.021965535162679642,0.016654008456477683,0.008708660989428444,0.015776068202861922
water_reason,0.005977500545881406,0.003118598798848197,0.002204529714765543,0.003766876353165048
hair_texture,0.0010515007109006124,0.00472420572029787,0.0009329560241913753,0.002236220818463286
total_keratine,0.0,0.0022748237189555726,0.0017713645961789097,0.0013487294383781607
