feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
iron,0.20224924207838252,0.14339887961277104,0.053749054461445844,0.13313239205086647
stress_level,0.15219925717188937,0.10374662308323876,0.04370796460195395,0.09988461495236067
calcium,0.12080318650752361,0.08599087031606897,0.03749159472418858,0.08142855051592705
total_protein,0.11997611447510233,0.09021198235609784,0.0291189151982438,0.07976900400981465
alt_liver,0.11554630834388875,0.08130170998959549,0.035141531893687426,0.07732985007572389
vitamin_d,0.10156223093231961,0.08452396782569957,0.022180771041435315,0.06942232326648483
stress,0.09016593769202393,0.06908644308572041,0.020165443613931106,0.059805941463891815
manganese,0.08339748907342778,0.05409069539048097,0.02909820204281584,0.05552879550224154
anemia,0.0768361512403038,0.062447726902861864,0.013436320575050249,0.05090673290607198
body_water_content,0.06674745207356848,0.0525616970223759,0.017335166938974935,0.045548105344973104
chronic_illness,0.0645987284372497,0.041571386871737614,0.02163658559621921,0.04260223363506884
chemical_use,0.03557778002554075,0.02244750929688597,0.0116729092908299,0.023232732871085543
age,0.03330700163549451,0.016301921793016816,0.016060732649640228,0.02188988535938385
family_hair_fall_history,0.028972928175856012,0.02551659942757501,0.002854380066883585,0.01911463589010487
sleep_disturbance,0.026542873566756213,0.02063963466234084,0.00939701689587428,0.018859841708323777
late_night_sleep,0.027385031131674908,0.018755591255024528,0.007103808882685742,0.017748143756461724
hair_texture,0.004084365123170291,0.014453609077453583,0.0002081009054289723,0.006248691702017615
total_keratine,0.006075092387187957,0.009826806841186909,0.0013528910962413107,0.005751596774872059
gender,0.001074138133429639,0.007604736312842369,0.0020635969968470567,0.003580823814373022
water_reason,0.001862581212274212,0.0,0.0016313028417245718,0.0011646280179995947
