feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
iron,0.20004357102509082,0.15222427628788487,0.05643158113759118,0.1362331428168556
stress_level,0.14374889950413566,0.10409734378702651,0.0402052299217945,0.09601715773765222
alt_liver,0.11498712312800186,0.08582797892772248,0.032228485486953076,0.07768119584755913
total_protein,0.1084481629625739,0.08810127936725357,0.023266248059975448,0.07327189679660097
stress,0.09544134234238118,0.07397671322909302,0.020016413871187654,0.06314482314755396
calcium,0.09418004738205928,0.06455285140844987,0.02855603494801156,0.0624296445795069
vitamin_d,0.0863024839132811,0.05914285621544722,0.024070111308065446,0.05650515047893126
manganese,0.07642462010456738,0.05645312434212939,0.025088723605448816,0.052655489350715186
anemia,0.07401099007500554,0.0623339352759278,0.012052068790275578,0.049465664713736306
late_night_sleep,0.07045117330442432,0.060144928592642165,0.01328699447265989,0.047961032123242126
body_water_content,0.06758837139139172,0.05416838609385316,0.013449802185237378,0.04506885322349408
chronic_illness,0.05212405217554846,0.03708825956380144,0.01441638708742854,0.03454289960892615
chemical_use,0.04888682526565093,0.03866665170616381,0.00894452076098897,0.032165999244267905
age,0.04454152921788272,0.0406827540251597,0.0077190016604945485,0.030981094967845662
sleep_disturbance,0.035440226529835785,0.026346861775291684,0.011067381321844986,0.024284823208990818
family_hair_fall_history,0.029891407661325097,0.026748381812403584,0.003384300732381168,0.020008030068703282
gender,0.010775778965344785,0.00934817395641777,0.0066171140056287825,0.008913688975797113
water_reason,0.005359918309537344,0.0010465034779677507,0.004171650884849464,0.0035260242241181862
total_keratine,0.0031944289813033077,0.0030518768245437907,0.0025984595154867644,0.0029482551071112876
hair_texture,0.0013965122544204532,0.002189359548363376,0.0025669585495942606,0.0020509434507926965
