feature,mean_abs_Low,mean_abs_Moderate,mean_abs_High,mean_abs_all
iron,0.20666471915395804,0.16547103986987283,0.05224767222618559,0.14146114375000549
stress_level,0.1374303223414999,0.10643408049555791,0.035938143989705705,0.09326751560892117
alt_liver,0.1158547206275223,0.08911888188704495,0.028836751209307177,0.07793678457462482
total_protein,0.10579081465693105,0.07263644162188032,0.020651143178014787,0.06635946648560871
vitamin_d,0.09233532277396038,0.0719425914553001,0.03138332250737462,0.06522041224554503
calcium,0.07952886163995875,0.06455862376135893,0.01757180453225692,0.0538864299778582
manganese,0.07958307414502694,0.04764125201908388,0.028769457324421516,0.051997927829510786
anemia,0.0752865806759217,0.0661682267863206,0.011025681851489878,0.050826829771244066
stress,0.07165203532595213,0.058508093393036434,0.013055935563950951,0.04773868809431318
late_night_sleep,0.063796509164841,0.05499263317971902,0.011789921494916958,0.04352635461315899
body_water_content,0.059453817307724234,0.05444632389130068,0.013629774408719226,0.04250997186924805
sleep_disturbance,0.04647574481613515,0.03153298194342711,0.016285711027171645,0.031431479262244634
chronic_illness,0.04540805575400368,0.03032585405146849,0.013317611385445871,0.029683840396972683
age,0.040250358326618906,0.03443457577829902,0.014185315776057833,0.029623416626991916
chemical_use,0.04315745759181831,0.02775622980397201,0.011835708001531399,0.02758313179910724
family_hair_fall_history,0.02971092823126371,0.026157663058042846,0.004069559982245543,0.019979383757184034
gender,0.018107071076285765,0.02941385880326322,0.010207938629497017,0.019242956169682
water_reason,0.0028933671312925844,0.0022719066696164857,0.005584531217801511,0.0035832683395701937
total_keratine,0.0015140205504590668,0.006774629276493481,0.002244672352171421,0.0035111073930413224
hair_texture,0.002187433012888834,0.005186848609371092,0.001150386113586257,0.0028415559119487274
